url,text,chunk_id,metadata,error_message
https://knowledge.dataiku.com/latest/ml-analytics/gen-ai/concept-rag.html,"Contents

Menu

Expand

Light mode

Dark mode

Auto light/dark mode

Hide navigation sidebar

Hide table of contents sidebar

[Dataiku]

Academy

Join the Academy

Benefit from guided learning opportunities →

-   Quick Starts
-   Learning Paths
-   Certifications

-   Release Highlights
-   Academy Discussions

Community

-   
-   Learn About Us
-   Ask a Question
-   What's New?

-   Discuss Dataiku
-   Using Dataiku
-   Setup and Configuration
-   General Discussion
-   Plugins & Extending Dataiku
-   Product Ideas

-   Programs
-   Frontrunner Awards
-   Dataiku Neurons
-   Community Resources
-   Community Feedback
-   User Research

Documentation

Reference Documentation

Comprehensive specifications of Dataiku →

-   Release Notes
-   User's Guide
-   Specific Data Processing
-   Automation & Deployment
-   APIs
-   Installation & Administration
-   Other Topics

Knowledge

Knowledge Base

Articles and tutorials on Dataiku features →

-   User Guide
-   Admin Guide
-   Dataiku Solutions
-   Dataiku Cloud

Developer

Developer Guide

Tutorials and articles for developers and coder users →

-   Getting Started
-   Concepts and Examples
-   Tutorials
-   API Reference

Toggle site navigation sidebar

Dataiku Knowledge Base

Toggle Light / Dark / Auto color theme

Toggle table of contents sidebar

User Guide

-   Getting Started
-   Data Sourcing
-   Data Preparation
-   Data Visualization
-   Collaboration
-   Machine Learning & Analytics
-   Code
-   MLOps & Operationalization
-   Plugins

Dataiku Cloud

-   Space Management
-   Data Connections & Compute
-   Space Add-ons
-   Cloud Code Environments

Additional Offerings

-   Dataiku Solutions
-   Use Cases

Admin Guide

-   Deploying Dataiku
-   Configuring Dataiku
-   Operating Dataiku

-   [Go back to the homepage]
-   Machine Learning & Analytics
-   Generative AI and Large Language Models (LLMs)

Back to top

Toggle Light / Dark / Auto color theme

Toggle table of contents sidebar",1,,
https://knowledge.dataiku.com/latest/ml-analytics/gen-ai/concept-rag.html,"While large language models (LLMs) are powerful tools, they often lack
specific internal knowledge from organizations. The Embed recipe in
Dataiku uses the Retrieval Augmented Generation (RAG) approach to help
you fetch relevant pieces of text from a knowledge bank and enrich the
user prompts with them. This improves the precision and relevance of
answers returned by the LLMs.

As you can see on the diagram below, a benefit of the RAG approach is
that to gain precision, you do not have to fine-tune a model, which is
time-consuming and expensive. You just have to add your internal
knowledge to a knowledge bank and feed the LLM with it.

[Diagram showing the four levels of LLM customization with Dataiku.]",2,{'headers': ['CONCEPT | EMBED RECIPE AND RETRIEVAL AUGMENTED GENERATION (RAG)#']},
https://knowledge.dataiku.com/latest/ml-analytics/gen-ai/concept-rag.html,"To use the Embed text recipe, you’ll need:

-   A Dataiku instance (version 12.3 and above).

-   An Advanced Analytics Designer or Full Designer user profile.

-   A compatible code environment for retrieval-augmented models. This
    environment must be created beforehand by an administrator and
    include the RETRIEVAL AUGMENTED GENERATION MODELS package.

    [Screenshot of a code environment with the Retrieval Augmented
    Generation models package.]

-   A connection to a supported embedding model, which will be used for
    text embedding in the Embed recipe.

-   A connection to a supported generative AI model, which is the model
    that will be augmented. See LLM connections for details.",3,"{'headers': ['CONCEPT | EMBED RECIPE AND RETRIEVAL AUGMENTED GENERATION (RAG)#', 'Prerequisites#']}",
https://knowledge.dataiku.com/latest/ml-analytics/gen-ai/concept-rag.html,"Let’s see how the RAG approach works.

[Diagram of the RAG pipeline in a question-answering application.]

As you can see in the diagram above, using an augmented LLM includes
several steps:

1.  Gather a corpus of documents that will serve as the bespoke
    information you’ll augment an LLM’s base knowledge with.

    For instance, these might be internal policy or financial documents,
    technical documentation, or research papers about a certain topic.

    Note

    If your textual data is in PDF, HTML, or another document format,
    you can first apply a text extraction recipe to transform the files
    into a tabular dataset with each document’s extracted text captured
    in its own row.

2.  The Embed recipe uses vector stores such as FAISS, Pinecone, or
    ChromaDB to break your textual data into smaller chunks and then
    vectorize it (i.e. encode the semantic information into a numerical
    representation). The output of the Embed recipe is stored in a
    knowledge bank that is optimized for high-dimensional semantic
    search.

    Note

    The numeric vectors are commonly known as text embeddings, hence the
    recipe’s name.

3.  When a user asks a question, the smart retriever uses the vector
    store to augment the provided question with relevant information
    from the vector store.

4.  The augmented prompt is used to query the large language model to
    provide more precise answers along with their sources.",4,"{'headers': ['CONCEPT | EMBED RECIPE AND RETRIEVAL AUGMENTED GENERATION (RAG)#', 'RAG pipeline for question-answering using an augmented LLM#']}",
https://knowledge.dataiku.com/latest/ml-analytics/gen-ai/concept-rag.html,"As the name puts it, the Embed recipe is used to manage the text
embedding part (i.e. text vectorization) of the RAG approach.

The recipe settings page is where you:

1.  Indicate the column from the input dataset that contains the text to
    embed, or convert from textual data into numerical vectors.

2.  Configure the splitting methods and chunks of the input data.

3.  Set your knowledge bank by selecting the LLM and vector store to use
    for text embedding.

[Screenshot of the settings page of an Embed recipe.]",5,"{'headers': ['CONCEPT | EMBED RECIPE AND RETRIEVAL AUGMENTED GENERATION (RAG)#', 'Embed recipe settings#']}",
https://knowledge.dataiku.com/latest/ml-analytics/gen-ai/concept-rag.html,"The knowledge bank is the output of the Embed recipe. This is where your
input textual data has been converted into numerical vectors to augment
the LLM you want to use.

On the Flow, it is represented as a pink square object.

The table below describes the different tabs used to configure the
knowledge base.",6,"{'headers': ['CONCEPT | EMBED RECIPE AND RETRIEVAL AUGMENTED GENERATION (RAG)#', 'Knowledge bank settings#']}",
https://knowledge.dataiku.com/latest/ml-analytics/gen-ai/concept-rag.html,"Once you’ve augmented an LLM with the content of your knowledge bank,
this LLM is available in the Prompt Studios and Prompt recipe under a
section named Retrieval Augmented.

Note

Retrieval-augmented LLMs are only available in the scope of the project
and inherit the LLM connection’s properties of the underlying LLM
(caching, filters, permissions, etc.).

You can use a Prompt Studio to test your augmented model with some
prompts and evaluate the responses.

[Screenshot of a test case in a Prompt Studio.]

Note that the LLM indicates its sources at the bottom of the response.
This is a key capability and an advantage of the RAG approach.

As you may know, generic LLMs can sometimes offer answers that sound
plausible but are, in fact, hallucinations — statements that seem true
but aren’t backed up by real data. This is a major risk when accurate
and credible information is not just a nice-to-have, but a must-have.
Because documentation of your own knowledge bank is clearly displayed
with each answer, the application delivers insights that your teams can
verify and trust.",7,"{'headers': ['CONCEPT | EMBED RECIPE AND RETRIEVAL AUGMENTED GENERATION (RAG)#', 'Testing in the Prompt Studio#']}",
https://knowledge.dataiku.com/latest/ml-analytics/gen-ai/concept-rag.html,"Continue learning about the Embed recipe and the RAG approach by working
through the Tutorial | Use the Retrieval Augmented Generation (RAG)
approach for question-answering article.

Next

Tutorial | Prompt engineering with LLMs

Previous

Concept | Summarize text recipe

Copyright © 2024, Dataiku

Made with Sphinx and @pradyunsg's Furo

 On this page

-   Concept | Embed recipe and Retrieval Augmented Generation (RAG)
    -   Prerequisites
    -   RAG pipeline for question-answering using an augmented LLM
    -   Embed recipe settings
    -   Knowledge bank settings
    -   Testing in the Prompt Studio
    -   What’s next?",8,"{'headers': ['CONCEPT | EMBED RECIPE AND RETRIEVAL AUGMENTED GENERATION (RAG)#', 'What’s next?#']}",
https://knowledge.dataiku.com/latest/ml-analytics/gen-ai/concept-classification.html,"Contents

Menu

Expand

Light mode

Dark mode

Auto light/dark mode

Hide navigation sidebar

Hide table of contents sidebar

[Dataiku]

Academy

Join the Academy

Benefit from guided learning opportunities →

-   Quick Starts
-   Learning Paths
-   Certifications

-   Release Highlights
-   Academy Discussions

Community

-   
-   Learn About Us
-   Ask a Question
-   What's New?

-   Discuss Dataiku
-   Using Dataiku
-   Setup and Configuration
-   General Discussion
-   Plugins & Extending Dataiku
-   Product Ideas

-   Programs
-   Frontrunner Awards
-   Dataiku Neurons
-   Community Resources
-   Community Feedback
-   User Research

Documentation

Reference Documentation

Comprehensive specifications of Dataiku →

-   Release Notes
-   User's Guide
-   Specific Data Processing
-   Automation & Deployment
-   APIs
-   Installation & Administration
-   Other Topics

Knowledge

Knowledge Base

Articles and tutorials on Dataiku features →

-   User Guide
-   Admin Guide
-   Dataiku Solutions
-   Dataiku Cloud

Developer

Developer Guide

Tutorials and articles for developers and coder users →

-   Getting Started
-   Concepts and Examples
-   Tutorials
-   API Reference

Toggle site navigation sidebar

Dataiku Knowledge Base

Toggle Light / Dark / Auto color theme

Toggle table of contents sidebar

User Guide

-   Getting Started
-   Data Sourcing
-   Data Preparation
-   Data Visualization
-   Collaboration
-   Machine Learning & Analytics
-   Code
-   MLOps & Operationalization
-   Plugins

Dataiku Cloud

-   Space Management
-   Data Connections & Compute
-   Space Add-ons
-   Cloud Code Environments

Additional Offerings

-   Dataiku Solutions
-   Use Cases

Admin Guide

-   Deploying Dataiku
-   Configuring Dataiku
-   Operating Dataiku

-   [Go back to the homepage]
-   Machine Learning & Analytics
-   Generative AI and Large Language Models (LLMs)

Back to top

Toggle Light / Dark / Auto color theme

Toggle table of contents sidebar",1,,
https://knowledge.dataiku.com/latest/ml-analytics/gen-ai/concept-classification.html,"The Classify text recipe enables you to categorize some input data into
predefined classes or categories. It leverages large language models
(LLMs), which means that manual data labeling, as required in standard
supervised learning models, is not necessary.

The recipe works with many languages.",2,{'headers': ['CONCEPT | CLASSIFY TEXT RECIPE#']},
